Step,CPU,Temperature (K),Pressure (GPa),Volume,v_nAtom,v_FU,c_PE,Energy (eV/FU),c_T,MSD (Å$^2$),c_MSD2[4]
16200.0,855.01845,303.91367,-0.73742737,130742.65,12960.0,1620.0,-22096.536,-13.639837,303.91367,1.9029707,1.9029707
16300.0,860.31068,300.96845,-0.72799908,130742.65,12960.0,1620.0,-22093.885,-13.638201,300.96845,1.9080387,1.9080387
16400.0,865.61664,301.96271,-0.68860734,130742.65,12960.0,1620.0,-22097.619,-13.640506,301.96271,1.911987,1.911987
16500.0,870.97275,299.69295,-0.7088785700000001,130742.65,12960.0,1620.0,-22099.428,-13.641622,299.69295,1.9154265,1.9154264
16600.0,876.33023,297.84831,-0.6664261400000001,130742.65,12960.0,1620.0,-22099.858,-13.641888,297.84831,1.9149786,1.9149786
16700.0,881.63011,298.15299,-0.69136454,130742.65,12960.0,1620.0,-22100.28,-13.642148,298.15299,1.907896,1.907896
16800.0,886.92471,300.47695,-0.70530877,130742.65,12960.0,1620.0,-22099.127,-13.641436,300.47695,1.9054112,1.9054112
16900.0,892.2248,299.16935,-0.64924036,130742.65,12960.0,1620.0,-22096.587,-13.639868,299.16935,1.9018436,1.9018436
17000.0,897.53546,299.86611,-0.6939552600000001,130742.65,12960.0,1620.0,-22097.084,-13.640175,299.86611,1.8992508,1.8992508
17100.0,902.87523,299.69924,-0.75093532,130742.65,12960.0,1620.0,-22097.991,-13.640735,299.69924,1.9042311,1.9042311
17200.0,908.19962,298.03116,-0.6465918300000001,130742.65,12960.0,1620.0,-22097.844,-13.640644,298.03116,1.9120377,1.9120377
17300.0,913.50341,299.15611,-0.6964899800000001,130742.65,12960.0,1620.0,-22099.668,-13.64177,299.15611,1.9239115,1.9239115
17400.0,918.82708,299.64864,-0.68867716,130742.65,12960.0,1620.0,-22101.893,-13.643144,299.64864,1.9250849,1.9250849
17500.0,924.16552,299.31001,-0.70626711,130742.65,12960.0,1620.0,-22102.287,-13.643387,299.31001,1.9339125,1.9339125
17600.0,929.471,301.60217,-0.68044461,130742.65,12960.0,1620.0,-22102.957,-13.6438,301.60217,1.9436402,1.9436401
17700.0,934.80139,300.87883,-0.67725434,130742.65,12960.0,1620.0,-22099.596,-13.641726,300.87883,1.9380406,1.9380407
17800.0,940.07475,301.97136,-0.7188592400000001,130742.65,12960.0,1620.0,-22099.482,-13.641656,301.97136,1.9340055,1.9340055
17900.0,945.37495,304.01353,-0.63932456,130742.65,12960.0,1620.0,-22100.741,-13.642433,304.01353,1.9479566,1.9479566
18000.0,950.67123,299.5705,-0.705999,130742.65,12960.0,1620.0,-22097.698,-13.640554,299.5705,1.9533639,1.9533639
18100.0,955.98005,303.08231,-0.60562127,130742.65,12960.0,1620.0,-22105.568,-13.645413,303.08231,1.948116,1.9481159
18200.0,961.28879,299.08133,-0.70646248,130742.65,12960.0,1620.0,-22104.686,-13.644868,299.08133,1.9584001,1.9584001
18300.0,966.61998,297.92515,-0.68774764,130742.65,12960.0,1620.0,-22104.283,-13.644619,297.92515,1.9617635,1.9617635
18400.0,971.90981,300.19543,-0.64923702,130742.65,12960.0,1620.0,-22103.359,-13.644049,300.19543,1.9589727,1.9589726
18500.0,977.21135,303.37674,-0.7449140000000001,130742.65,12960.0,1620.0,-22101.787,-13.643078,303.37674,1.9543873,1.9543873
18600.0,982.48665,301.08161,-0.6861845000000001,130742.65,12960.0,1620.0,-22100.931,-13.64255,301.08161,1.9479417,1.9479417
18700.0,987.78309,302.50831,-0.70435061,130742.65,12960.0,1620.0,-22105.025,-13.645077,302.50831,1.9326069,1.9326069
18800.0,993.05958,296.16965,-0.7117470300000001,130742.65,12960.0,1620.0,-22101.861,-13.643124,296.16965,1.9351615,1.9351615
18900.0,998.34503,302.00247,-0.67764997,130742.65,12960.0,1620.0,-22107.142,-13.646384,302.00247,1.929642,1.929642
19000.0,1003.6338,303.05767,-0.75123829,130742.65,12960.0,1620.0,-22101.198,-13.642715,303.05767,1.92967,1.92967
19100.0,1008.9234,305.47462,-0.65431815,130742.65,12960.0,1620.0,-22102.557,-13.643554,305.47462,1.9477004,1.9477004
19200.0,1014.2752,301.64148,-0.73312265,130742.65,12960.0,1620.0,-22100.305,-13.642164,301.64148,1.9291985,1.9291985
19300.0,1019.6364,301.59429,-0.6755225300000001,130742.65,12960.0,1620.0,-22102.502,-13.64352,301.59429,1.943801,1.943801
19400.0,1024.9535,300.53632,-0.7252149900000001,130742.65,12960.0,1620.0,-22104.407,-13.644695,300.53632,1.9475645,1.9475645
19500.0,1030.2072,296.70672,-0.69949141,130742.65,12960.0,1620.0,-22104.78,-13.644926,296.70672,1.9639543,1.9639543
19600.0,1035.5181,299.09901,-0.6639888500000001,130742.65,12960.0,1620.0,-22106.947,-13.646264,299.09901,1.9758102,1.9758102
19700.0,1040.8249,301.98583,-0.7308147500000001,130742.65,12960.0,1620.0,-22106.946,-13.646263,301.98583,1.9939438,1.9939438
19800.0,1046.1043,298.95792,-0.7124524900000001,130742.65,12960.0,1620.0,-22101.576,-13.642948,298.95792,1.989946,1.989946
19900.0,1051.4254,302.77615,-0.7239689800000001,130742.65,12960.0,1620.0,-22103.968,-13.644424,302.77615,1.9784551,1.9784551
20000.0,1056.6807,298.72946,-0.73782467,130742.65,12960.0,1620.0,-22101.195,-13.642713,298.72946,1.9844521,1.9844521
20100.0,1061.9708,299.91328,-0.73767684,130742.65,12960.0,1620.0,-22103.601,-13.644198,299.91328,1.9909535,1.9909535
20200.0,1067.2324,297.63749,-0.77393749,130742.65,12960.0,1620.0,-22106.217,-13.645813,297.63749,1.9972935,1.9972935
